sample_name,13:28607900-28608500,2:25456900-25457400,5:170837300-170837800,total_mapped_reads,total_reads_in_bam,total_reads_in_fastq,unmapped_reads
LEUK5-P1-F11-wellin384plt-121_S157_L001,2129,5094,303,7526,8894,9184,1368
D0plt-B11-HSC-1-wellin384plt-338_S401_L001,0,0,0,0,0,0,0
LEUK5-P1-G11-wellin384plt-123_S158_L001,2194,3907,56,6157,8327,8630,2170
D0plt-G5-HSC-1-wellin384plt-252_S382_L001,0,13,0,13,3067,3072,3054
LEUK5-P2-G10-wellin384plt-257_S97_L001,45,88,0,133,1957,1972,1824
LEUK5-P4-H1-wellin384plt-291_S106_L001,352,4246,52,4650,7956,8176,3306
LEUK5-P2-H9-wellin384plt-247_S188_L001,1569,756,97,2422,4402,4458,1980
LEUK5-P4-E11-wellin384plt-40_S236_L001,1329,735,12,2076,2174,2222,98
LEUK5-P2-F11-wellin384plt-267_S102_L001,18,373,0,391,3201,3230,2810
LEUK5-P4-A6-wellin384plt-341_S211_L001,0,244,0,244,1016,1028,772
D0plt-B12-HSC-1-wellin384plt-354_S313_L001,0,28,0,28,2422,2428,2394
LEUK5-P5-E1-wellin384plt-64_S336_L001,10,670,0,680,728,762,48
D0plt-D8-HSC-1-wellin384plt-294_S299_L001,0,13,0,13,2377,2382,2364
LEUK5-P1-B4-wellin384plt-43_S46_L001,1,1671,0,1672,5270,5382,3598
D0plt-B3-GMP-1-wellin384plt-210_S369_L001,4,13,0,17,1943,1952,1926
LEUK5-P5-E2-wellin384plt-74_S245_L001,1,702,0,703,3595,3636,2892
LEUK5-P2-G7-wellin384plt-223_S184_L001,5,75,0,80,2156,2164,2076
LEUK5-P5-F4-wellin384plt-98_S249_L001,2,14,0,16,42,46,26
LEUK5-P5-C8-wellin384plt-136_S260_L001,0,50,0,50,62,66,12
LEUK5-P4-D7-wellin384plt-363_S126_L001,2450,1953,6,4409,6075,6188,1666
D0plt-D1-GMP-1-wellin384plt-182_S363_L001,0,41,0,41,85,90,44
LEUK5-P4-E3-wellin384plt-311_S204_L001,0,1183,0,1183,3751,3804,2568
LEUK5-P5-F11-wellin384plt-170_S269_L001,6,63,0,69,2885,2888,2816
