Sort_id,All Events FSC-A Median,All Events FSC-W Median,All Events SSC-A Median,All Events CD33 640 670/30-A Median,All Events CD45RA 640 730/45-A Median,All Events CD34 640 780/60-A Median,All Events CD90 561 582/15-A Median,All Events CD49F 561 670/14-A Median,All Events CD38 561 780/60-A Median,All Events Lin 488 530/30-A Median,All Events CD7/10 V405 450/50-A Median,All Events L/D V405 525/50-A Median,All Events CD45 V405 780/60-A Median,All Events Time Median,Cell_seeded
2_D10,111814,85824,51172,4,36,1306,-4,1460,15,420,8978,181,1170,28938,HSC
2_D11,67156,82890,70683,214,52,2510,143,186,111,659,2926,281,2085,28739,HSC
2_D12,127275,88193,62711,-49,122,1986,105,1973,45,499,9768,139,1545,28526,HSC
2_E1,124482,89947,57444,106,31,2859,7,717,-28,244,29259,340,2536,30914,HSC
2_E2,127880,93672,94678,145,102,4463,797,2204,-72,527,28811,456,2955,31111,HSC
2_E3,124491,89446,72925,58,53,2958,316,782,-108,509,6477,198,1726,31303,HSC
2_E4,129457,94411,59395,58,36,1799,534,846,7,423,8107,175,1288,31508,HSC
2_E5,118116,88245,40961,71,40,2195,71,709,120,274,43246,241,4547,31701,HSC
2_E6,99894,83812,60939,11,34,2357,121,1295,-40,293,1536,199,699,31893,HSC
2_E7,73478,81501,91200,-6,23,3505,24,2059,-120,464,4119,175,1287,32084,HSC
2_E8,121110,86965,68316,143,98,2087,116,1282,95,209,5318,204,793,32279,HSC
2_E9,108611,87618,65486,57,54,1741,53,762,-115,314,15339,292,1430,32472,HSC
2_E10,131419,93307,46332,52,119,1393,299,1090,182,396,17141,280,578,32672,HSC
2_E11,102287,83433,58565,32,7,1951,132,1291,-13,226,7472,209,1128,32864,HSC
2_E12,127394,91244,63246,85,84,2267,268,1617,5,1013,15890,204,2172,33057,HSC
2_F1,76035,82038,96048,-41,61,2796,106,1956,-42,171,5845,234,1374,35409,HSC
2_F2,129582,88330,55025,66,17,2335,517,671,-5,491,5623,119,1110,35214,HSC
2_F3,81945,89788,118033,377,119,4393,43,1173,5,648,8893,277,3141,35022,HSC
2_F4,118295,91715,68398,194,34,2175,-45,431,-121,313,29939,278,1504,34826,HSC
2_F5,111455,85888,56205,76,88,1780,16,4767,-111,417,6156,206,663,34630,HSC
2_F6,98332,85144,64193,-6,11,1220,-42,1113,-66,157,15457,75,721,34435,HSC
2_F7,81713,84194,108527,186,79,2069,4,1210,-105,695,5248,222,1141,34240,HSC
2_F8,126365,89283,62447,190,24,1757,30,767,-36,212,5730,115,1006,34046,HSC
2_F9,110536,84351,86332,225,102,4540,1173,1539,-95,365,34370,178,2270,33856,HSC
2_F10,111874,87334,71809,239,79,3944,66,3249,-116,602,14614,333,1360,33664,HSC
2_F11,124153,86882,68575,197,113,3908,320,970,-227,156,9293,118,2159,33468,HSC
2_F12,103926,87643,50911,99,44,1180,271,499,27,361,3213,122,1143,33252,HSC
2_G1,109781,86900,49608,200,15,1515,264,713,42,227,3058,202,750,35609,HSC
2_G2,79961,96973,106195,168,130,2375,360,1072,58,1184,8003,277,1995,35800,HSC
2_G3,108829,86186,47155,92,132,1977,-99,1862,-29,350,31543,178,1467,35992,HSC
2_G4,123711,88776,68237,14,43,1684,994,1591,13,437,6323,187,1241,36187,HSC
2_G5,115814,87530,69904,97,35,1884,4835,724,125,639,3601,258,3398,36380,HSC
2_G6,125126,86514,51538,137,38,871,21,614,95,1449,2717,121,1388,36580,HSC
2_G7,109718,83603,61543,270,34,3094,43,2204,-104,240,9801,198,1994,36780,HSC
2_G8,130283,87994,62501,167,98,2243,3413,469,26,632,19934,244,2657,36995,HSC
2_G9,135133,90902,52712,354,28,757,163,9052,-79,868,2140,249,1759,37193,HSC
2_G10,116210,87853,58709,122,19,2567,110,939,-134,424,7891,184,975,37386,HSC
2_G11,85158,81042,70460,1,16,3382,63,1801,-108,224,12402,175,1485,37577,HSC
2_G12,106425,85958,76820,127,61,4498,92,6052,-244,170,11736,252,1365,37770,HSC
2_H1,111554,84540,51672,33,95,2948,103,4684,-86,406,17963,337,1792,40214,HSC
2_H2,119766,88007,68635,133,71,1341,89,687,-7,460,3655,245,683,40020,HSC
2_H3,112695,83303,47331,36,-34,867,83,5286,62,660,1595,177,1839,39829,HSC
2_H4,105228,90713,75979,264,36,2437,99,2156,26,210,35154,362,1673,39632,HSC
2_H5,88477,81067,53970,116,-13,3296,112,1008,-92,338,7579,165,1341,39416,HSC
2_H6,127539,92104,75509,-60,28,1747,102,1750,-56,269,13909,220,1787,39221,HSC
2_H7,117516,89384,48824,-117,82,1442,172,20116,-26,1958,86,292,1605,39027,HSC
2_H8,109423,84945,74129,153,57,3708,74,876,-196,593,5862,207,1137,38835,HSC
2_H9,125016,95037,57967,70,15,2015,454,2532,-76,393,4157,180,1166,38639,HSC
2_H10,109463,85301,54685,4,42,2287,195,1750,-15,380,8952,193,1158,38395,HSC
2_H11,124383,88910,66925,188,33,1341,304,909,52,297,3851,111,1062,38165,HSC
2_H12,129535,93800,65418,286,51,3796,984,1576,10,463,10673,255,2314,37964,HSC
3_A1,112658,88277,69876,29,73,2922,18,1753,-130,394,15869,339,1876,21346,HSC
3_A2,121219,86473,65391,179,85,2452,550,1041,45,361,5634,212,1566,21591,HSC
3_A3,108333,85121,77105,145,121,3745,20,1397,66,234,26311,305,3074,21788,HSC
3_A4,120269,87174,75981,164,104,1879,356,1301,-103,461,8638,138,1069,21978,HSC
3_A5,91519,82079,80762,117,53,2789,330,1217,-208,374,7201,338,1629,22197,HSC
3_A6,112547,85498,57599,103,51,2389,373,465,-161,398,4773,182,1492,22395,HSC
3_A7,106497,86817,54769,3,-4,1906,186,1989,-135,399,5404,126,932,22586,HSC
3_A8,105640,84439,51024,136,22,1404,82,1072,-43,169,3259,181,481,22779,HSC
3_A9,124029,87360,57085,-35,53,820,52,2645,76,600,2044,221,1133,22974,HSC
3_A10,109917,86260,60644,64,99,3252,-29,875,-118,520,8756,226,2109,23189,HSC
3_A11,98083,83767,50871,57,144,2202,1314,1386,30,197,4612,118,587,23387,HSC
3_A12,115940,86634,52696,306,33,2152,40,2406,-51,306,10480,103,1417,23579,HSC
3_B1,115109,86551,59339,152,9,2408,-2,1157,-53,170,6796,192,1311,25941,HSC
3_B2,113255,89255,47142,-20,76,1765,340,696,-68,17,7622,179,655,25743,HSC
3_B3,135541,92354,72199,87,-20,1130,-27,6194,-23,761,1928,222,2009,25541,HSC
3_B4,135247,90292,56638,61,69,2286,24,2073,-43,658,10986,419,3381,25351,HSC
3_B5,107472,84498,62752,89,69,3692,97,7475,-143,922,12884,166,1437,25156,HSC
3_B6,109984,85797,66928,79,36,1907,8,830,67,275,22845,327,1544,24941,HSC
3_B7,115713,88676,61543,22,48,1344,129,1245,15,346,10096,230,1472,24748,HSC
3_B8,115232,87521,76739,135,78,2305,218,2245,47,164,12326,224,993,24553,HSC
3_B9,89623,84725,83966,135,115,3125,582,3370,-108,291,7623,226,1412,24360,HSC
3_B10,80729,82531,77010,132,93,3041,58,4109,91,362,9047,222,923,24169,HSC
