plate_well,#Events,%Parent,FSC-A,FSC-W,SSC-A,CD38,CD45RA,CD34,CD19,ZOMBIE,CD33,CD49F,CD90,V405,Time,Cell_seeded
3_E10,1,NA,104609,78729,23702,190,74,1375,47,154,23,695,39,NA,12223,HSC
3_E11,1,NA,109099,81286,22236,33,8,869,80,259,54,135,200,NA,12415,HSC
3_E12,1,NA,76720,76556,14644,136,33,1144,19,159,56,987,306,NA,12608,HSC
3_F1,1,NA,103889,79712,18592,-32,96,1548,44,278,35,294,716,NA,15084,HSC
3_F2,1,NA,105095,78651,23894,48,52,1330,33,323,64,361,-21,NA,14871,HSC
3_F3,1,NA,100264,79951,19517,1,1,893,36,204,-42,356,90,NA,14652,HSC
3_F4,1,NA,101721,80537,18860,93,68,1325,9,157,23,288,9,NA,14449,HSC
3_F5,1,NA,98940,81178,22715,-140,17,1491,-7,230,-30,873,46,NA,14250,HSC
3_F6,1,NA,95562,77854,16058,-77,23,1175,34,182,27,294,16,NA,14050,HSC
3_F7,1,NA,66592,74882,24126,-18,0,856,61,243,74,132,170,NA,13831,HSC
3_F8,1,NA,97929,78089,23749,45,24,1334,63,132,-29,471,16,NA,13627,HSC
3_F9,1,NA,139004,86591,32695,32,83,2374,51,344,129,321,-18,NA,13411,HSC
3_F10,1,NA,119413,81662,26221,-66,74,2518,28,316,30,135,204,NA,13213,HSC
3_F11,1,NA,91706,78572,19459,-140,73,1334,42,124,-46,581,201,NA,12995,HSC
3_F12,1,NA,107186,79049,16867,-36,51,1422,13,163,-50,267,52,NA,12799,HSC
3_G1,1,NA,110423,80545,20814,-65,3,1853,21,257,96,202,683,NA,15330,HSC
3_G2,1,NA,79709,77637,14718,2,39,1165,62,138,-38,324,1989,NA,15527,HSC
3_G3,1,NA,109079,84571,19777,79,65,1250,66,264,37,1245,79,NA,15717,HSC
3_G4,1,NA,109902,80412,17258,3,29,2024,6,185,57,361,504,NA,15911,HSC
3_G5,1,NA,99179,78486,16541,-60,33,1269,6,144,28,631,5,NA,16115,HSC
3_G6,1,NA,104565,79544,21375,46,25,1776,24,112,-29,891,369,NA,16418,HSC
3_G7,1,NA,110284,81088,22360,-99,36,1545,35,214,-31,1159,615,NA,16657,HSC
3_G8,1,NA,109536,80360,21428,19,78,1700,47,157,81,485,64,NA,16914,HSC
3_G9,1,NA,103308,78649,26492,-72,57,1416,49,142,24,237,579,NA,17219,HSC
4_A1,1,NA,121133,83833,24086,880,1009,763,85,348,2076,1394,-80,NA,5414,GMP
4_A2,1,NA,137101,90721,40134,1992,946,389,231,442,1805,631,31,NA,7689,GMP
4_A3,1,NA,151301,88376,47345,1013,1624,488,174,280,2230,2741,-50,NA,8252,GMP
4_A4,1,NA,96413,81671,21833,-98,36,1357,34,164,87,293,195,NA,527,HSC
4_A5,1,NA,165178,93089,50165,183,99,2564,83,271,276,1149,409,NA,747,HSC
4_A6,1,NA,81625,76187,20167,-31,7,902,47,195,123,613,55,NA,1371,HSC
4_A7,1,NA,91725,76916,15050,-77,40,1478,28,113,374,807,231,NA,1657,HSC
4_A8,1,NA,98476,80645,24223,-124,66,1681,28,140,19,411,20,NA,1921,HSC
4_A9,1,NA,90926,77491,20942,37,-18,1404,24,207,45,741,431,NA,2749,HSC
4_A10,1,NA,106289,79840,26791,261,104,1302,73,164,46,238,-12,NA,3257,HSC
4_A11,1,NA,112558,80145,25699,-25,74,1554,43,160,78,496,6,NA,3496,HSC
4_A12,1,NA,100430,79136,21172,35,24,1572,55,214,-3,574,302,NA,3721,HSC
4_B1,1,NA,110979,79890,25357,154,35,1238,47,232,66,499,-8,NA,9236,HSC
4_B2,1,NA,100145,82236,14127,91,26,1009,45,116,146,56,45,NA,8958,HSC
4_B3,1,NA,84088,77370,21433,-21,51,979,36,211,36,712,13,NA,8724,HSC
4_B4,1,NA,103245,81105,18614,-30,-31,1476,46,230,140,2381,2898,NA,8295,HSC
