Plate_well,Single_cells,CD45,Ery,NK,Mono,Neut,CD66bneg,CD66bpos,CD14_MFI,CD15_MFI,CD66b_MFI,GlyA_MFI,Gran_freq,Mono_freq,GlyA_freq,CD66bpos_freq,CD66bneg_freq
1_H9,4671,4346,10,0,1298,1307,334,912,12325,30597,38817,86.1,38.2,38,5.16,69.8,25.6
1_H10,85,61,0,0,8,2,1,1,3195,8467,12993,104,5.71,22.9,4,50,50
1_H11,271,206,0,0,58,29,12,11,13764,26384,21768,-19.3,20.9,41.7,5.56,37.9,41.4
1_H12,939,761,4,0,235,2,2,0,20862,25337,1028,8.98,0.38,44.8,10.7,0,100
2_A1,3639,3550,2,0,1480,1596,159,1398,16079,41531,62741,71.9,45.7,42.4,1.55,87.6,9.96
2_A2,20027,19479,3,0,9241,1789,1777,4,9664,8099,5324,92.5,9.25,47.8,4.41,0.22,99.3
2_A3,22754,22086,5,0,4128,10985,1915,8657,4903,19120,46872,95.1,49.9,18.8,2.64,78.8,17.4
2_A4,4367,3947,0,0,1270,1487,722,697,19576,36459,26384,75.8,37.9,32.3,0.087,46.9,48.6
2_A5,12812,12034,1,0,4413,5492,2887,2256,12018,28342,18200,65.5,45.8,36.8,0.49,41.1,52.6
2_A6,3931,1367,2,0,80,425,52,360,5007,18115,60638,289,41.2,7.76,9.61,84.7,12.2
2_A7,3914,3766,7,0,1614,1003,245,713,21512,25702,42857,86.1,30.7,49.4,5.44,71.1,24.4
2_A8,2654,2591,1,0,297,1733,1600,79,20232,125464,13701,93.8,67.4,11.6,0.84,4.56,92.3
2_A9,12532,11675,35,2,2295,5710,1796,3620,9364,37892,32643,60.4,53.1,21.4,2.01,63.4,31.5
2_A10,28184,27628,7,1,2719,18939,2584,15506,5812,25702,46872,103,69.8,10,1.69,81.9,13.6
2_A11,40012,39181,15,1,8862,8307,4234,3642,3366,6015,12934,151,21.4,22.8,2.93,43.8,51
2_A12,13211,12791,2,0,2601,7601,2271,4994,9929,44012,35850,120,61.2,20.9,1.43,65.7,29.9
2_B1,16017,1671,1081,0,64,31,12,13,1415,4254,20424,1552,1.92,3.96,75.4,41.9,38.7
2_B2,16682,16354,25,2,7682,1079,884,170,12611,7205,6080,190,6.64,47.3,8.26,15.8,81.9
2_B3,2924,1308,3,0,74,33,30,2,1751,5568,7596,391,2.9,6.5,16.4,6.06,90.9
2_B4,28481,26012,8,1,8363,3329,2422,798,5497,5235,4537,633,12.9,32.4,38.2,24,72.8
2_B5,7654,841,177,0,8,144,143,1,1384,6792,14720,376,17.9,0.99,29.3,0.69,99.3
2_B6,4384,4352,1,0,285,3233,668,2332,14754,85982,40736,123,74.9,6.6,7.69,72.1,20.7
2_B7,6871,6815,0,1,455,5675,861,4603,12669,77586,60934,75.8,83.8,6.72,14.6,81.1,15.2
2_B8,32512,31996,15,8,7024,3806,3253,341,2992,7430,6253,194,12,22.1,8.23,8.96,85.5
2_B9,2221,2102,33,2,1037,244,141,84,28274,23261,19301,2951,12.8,54.6,40.5,34.4,57.8
2_B10,19794,19733,4,3,1462,17113,2849,13171,10248,63048,38259,97.7,87.3,7.45,1.16,77,16.6
2_B11,15926,15645,9,1,1385,10109,1151,8607,5060,26384,55552,113,65.8,9.01,3.82,85.1,11.4
2_B12,6965,6946,0,0,189,6234,6171,33,12786,83493,8448,173,90.6,2.75,2.38,0.53,99
2_C1,434,424,0,0,48,44,21,19,4435,14891,14584,68.1,18.1,19.8,6.67,43.2,47.7
2_C2,9629,9598,0,3,291,8376,1517,6435,7430,45090,44764,80.9,87.5,3.04,5.43,76.8,18.1
2_C3,162,29,1,0,2,5,0,4,3101,5925,54350,1040,27.8,11.1,62.2,80,0
