sample_name,13:28607900-28608500,20:31022200-31022800,2:25456900-25457400,5:170837300-170837800,total_mapped_reads,total_reads_in_bam,total_reads_in_fastq,unmapped_reads,,,
Aditi_1225_S1225,0,0,128,0,128,2164,2164,2036,Aditi,1225,S1225
Aditi_1226_S1226,0,0,85,0,85,3403,3406,3318,Aditi,1226,S1226
Aditi_1227_S1227,0,0,560,0,560,1832,1842,1272,Aditi,1227,S1227
Aditi_1228_S1228,0,0,3873,0,3873,4831,4874,958,Aditi,1228,S1228
Aditi_1229_S1229,0,0,28,0,28,362,362,334,Aditi,1229,S1229
Aditi_123_S123,0,0,0,0,0,1394,1394,1394,Aditi,123,S123
Aditi_1230_S1230,0,0,677,0,677,787,798,110,Aditi,1230,S1230
Aditi_1231_S1231,0,0,37,0,37,1305,1306,1268,Aditi,1231,S1231
Aditi_1232_S1232,0,0,375,0,375,1189,1198,814,Aditi,1232,S1232
Aditi_1233_S1233,0,0,67,0,67,367,368,300,Aditi,1233,S1233
Aditi_1234_S1234,0,0,323,0,323,739,752,416,Aditi,1234,S1234
Aditi_1235_S1235,0,0,4,0,4,3046,3046,3042,Aditi,1235,S1235
Aditi_1236_S1236,0,0,16,0,16,1750,1750,1734,Aditi,1236,S1236
Aditi_1237_S1237,0,0,57,0,57,517,518,460,Aditi,1237,S1237
Aditi_1238_S1238,0,0,80,0,80,1480,1480,1400,Aditi,1238,S1238
Aditi_1239_S1239,0,0,107,0,107,1305,1310,1198,Aditi,1239,S1239
Aditi_124_S124,0,0,0,0,0,1692,1692,1692,Aditi,124,S124
Aditi_1240_S1240,0,0,58,0,58,1172,1172,1114,Aditi,1240,S1240
Aditi_1241_S1241,0,0,4,0,4,1720,1720,1716,Aditi,1241,S1241
Aditi_1242_S1242,0,0,44,0,44,1684,1684,1640,Aditi,1242,S1242
Aditi_1243_S1243,0,0,87,0,87,1319,1322,1232,Aditi,1243,S1243
Aditi_1244_S1244,0,0,50,0,50,778,778,728,Aditi,1244,S1244
Aditi_1245_S1245,0,0,3386,0,3386,4248,4284,862,Aditi,1245,S1245
Aditi_1246_S1246,0,0,24,0,24,1206,1206,1182,Aditi,1246,S1246
Aditi_1247_S1247,0,0,23,0,23,755,756,732,Aditi,1247,S1247
Aditi_1248_S1248,0,0,32,0,32,840,840,808,Aditi,1248,S1248
Aditi_1249_S1249,0,0,6,0,6,660,660,654,Aditi,1249,S1249
Aditi_125_S125,0,0,0,0,0,2600,2600,2600,Aditi,125,S125
Aditi_1250_S1250,0,0,0,0,0,260,260,260,Aditi,1250,S1250
Aditi_1251_S1251,0,0,6,0,6,94,94,88,Aditi,1251,S1251
Aditi_1252_S1252,0,0,65,0,65,149,150,84,Aditi,1252,S1252
Aditi_1253_S1253,0,0,1,0,1,177,178,176,Aditi,1253,S1253
Aditi_1254_S1254,0,0,0,0,0,314,314,314,Aditi,1254,S1254
Aditi_1255_S1255,0,0,4,0,4,80,80,76,Aditi,1255,S1255
Aditi_1256_S1256,0,0,27,0,27,1599,1600,1572,Aditi,1256,S1256
Aditi_1257_S1257,0,0,8,0,8,968,968,960,Aditi,1257,S1257
Aditi_1258_S1258,0,0,10199,0,10199,11369,11474,1170,Aditi,1258,S1258
Aditi_1259_S1259,0,0,5,0,5,773,774,768,Aditi,1259,S1259
Aditi_126_S126,0,0,0,0,0,2180,2180,2180,Aditi,126,S126
Aditi_1260_S1260,0,0,346,0,346,576,580,230,Aditi,1260,S1260
Aditi_1261_S1261,0,0,0,0,0,530,530,530,Aditi,1261,S1261
Aditi_1262_S1262,0,0,4,0,4,130,130,126,Aditi,1262,S1262
Aditi_1263_S1263,0,0,150,0,150,1088,1088,938,Aditi,1263,S1263
Aditi_1264_S1264,0,0,2,0,2,376,376,374,Aditi,1264,S1264
Aditi_1265_S1265,0,0,4,0,4,954,954,950,Aditi,1265,S1265
Aditi_1266_S1266,0,0,0,0,0,122,122,122,Aditi,1266,S1266
Aditi_1267_S1267,0,0,0,0,0,142,142,142,Aditi,1267,S1267
Aditi_1268_S1268,0,0,4,0,4,292,292,288,Aditi,1268,S1268
Aditi_1269_S1269,0,0,0,0,0,36,36,36,Aditi,1269,S1269
Aditi_127_S127,0,0,0,0,0,2202,2202,2202,Aditi,127,S127
Aditi_1270_S1270,0,0,0,0,0,48,48,48,Aditi,1270,S1270
Aditi_1271_S1271,0,0,88,0,88,338,338,250,Aditi,1271,S1271
Aditi_1272_S1272,0,0,1,0,1,319,320,318,Aditi,1272,S1272
Aditi_1273_S1273,0,0,2,0,2,232,232,230,Aditi,1273,S1273
Aditi_1274_S1274,0,0,0,0,0,410,410,410,Aditi,1274,S1274
Aditi_1275_S1275,0,0,0,0,0,170,170,170,Aditi,1275,S1275
Aditi_1276_S1276,0,0,3,0,3,863,864,860,Aditi,1276,S1276
Aditi_1277_S1277,0,0,2,0,2,2028,2028,2026,Aditi,1277,S1277
Aditi_1278_S1278,0,0,6,0,6,1944,1944,1938,Aditi,1278,S1278
Aditi_1279_S1279,0,0,2,0,2,3128,3128,3126,Aditi,1279,S1279
Aditi_128_S128,0,0,0,0,0,2462,2462,2462,Aditi,128,S128
Aditi_1280_S1280,0,0,2,0,2,2330,2330,2328,Aditi,1280,S1280
Aditi_1281_S1281,0,0,4,0,4,2672,2672,2668,Aditi,1281,S1281
Aditi_1282_S1282,0,0,1,0,1,2265,2266,2264,Aditi,1282,S1282
Aditi_1283_S1283,0,0,2,0,2,684,684,682,Aditi,1283,S1283
Aditi_1284_S1284,0,0,32,0,32,2156,2158,2124,Aditi,1284,S1284
Aditi_1285_S1285,0,0,0,0,0,2142,2142,2142,Aditi,1285,S1285
Aditi_1286_S1286,0,0,10,0,10,1512,1512,1502,Aditi,1286,S1286
Aditi_1287_S1287,0,0,2,0,2,1504,1504,1502,Aditi,1287,S1287
Aditi_1288_S1288,0,0,1,0,1,1627,1628,1626,Aditi,1288,S1288
Aditi_1289_S1289,0,0,2,0,2,2462,2462,2460,Aditi,1289,S1289
Aditi_129_S129,0,0,0,0,0,1772,1772,1772,Aditi,129,S129
